Screen_Name,Tile_Type,Tile_W,Tile_H,Tiles_Wide,Tiles_High,Pixels_W,Pixels_H,Physical W,Physical H
AUD-N,cb3,160,320,33,2.5,5280,800,19.8,3
AUD-S,cb3,160,320,33,2.5,5280,800,19.8,3
AUD-C,cb3,160,320,61,2.5,9760,800,36.6,3
SC-N,cb3,160,320,11,1,1760,320,6.6,1.2
SC-S,cb3,160,320,11,1,1760,320,6.6,1.2
SC-C,cb3,160,320,11,1,1760,320,6.6,1.2
RIB-N,cb8,72,144,36,1,2592,144,21.6,1.2
RIB-S,cb8,72,144,36,1,2592,144,21.6,1.2
RIB-C,cb8,72,144,60,1,4320,144,36,1.2
iRIB-N,cb8,72,144,22,1,1584,144,13.2,1.2
iRIB-S,cb8,72,144,22,1,1584,144,13.2,1.2
iRIB-Ca,cb8,72,144,25,1,1800,144,15,1.2
iRIB-Cb,cb8,72,144,25,1,1800,144,15,1.2
CRN-N,cb5,104,208,16,1,1664,208,9.6,1.2
CRN-S,cb5,104,208,16,1,1664,208,9.6,1.2
SCB-A,cb5,104,208,14,4,1456,832,8.4,4.8
SCB-B,cb3,160,320,12,3,1920,960,7.2,3.6
